Entity,Code,Year,cumulative_exoplanets
Microlensing,,1992,0
Microlensing,,1994,0
Microlensing,,1995,0
Microlensing,,1996,0
Microlensing,,1997,0
Microlensing,,1998,0
Microlensing,,1999,0
Microlensing,,2000,0
Microlensing,,2001,0
Microlensing,,2002,0
Microlensing,,2003,0
Microlensing,,2004,1
Microlensing,,2005,3
Microlensing,,2006,4
Microlensing,,2007,4
Microlensing,,2008,8
Microlensing,,2009,10
Microlensing,,2010,12
Microlensing,,2011,13
Microlensing,,2012,20
Microlensing,,2013,25
Microlensing,,2014,31
Microlensing,,2015,35
Microlensing,,2016,45
Microlensing,,2017,54
Microlensing,,2018,75
Microlensing,,2019,89
Microlensing,,2020,108
Microlensing,,2021,128
Microlensing,,2022,148
Other methods,,1992,2
Other methods,,1994,3
Other methods,,1995,3
Other methods,,1996,3
Other methods,,1997,3
Other methods,,1998,3
Other methods,,1999,3
Other methods,,2000,3
Other methods,,2001,3
Other methods,,2002,3
Other methods,,2003,4
Other methods,,2004,7
Other methods,,2005,8
Other methods,,2006,12
Other methods,,2007,14
Other methods,,2008,21
Other methods,,2009,22
Other methods,,2010,30
Other methods,,2011,41
Other methods,,2012,46
Other methods,,2013,55
Other methods,,2014,72
Other methods,,2015,78
Other methods,,2016,82
Other methods,,2017,88
Other methods,,2018,91
Other methods,,2019,101
Other methods,,2020,104
Other methods,,2021,116
Other methods,,2022,124
Radial velocity,,1992,0
Radial velocity,,1994,0
Radial velocity,,1995,1
Radial velocity,,1996,7
Radial velocity,,1997,8
Radial velocity,,1998,14
Radial velocity,,1999,27
Radial velocity,,2000,43
Radial velocity,,2001,55
Radial velocity,,2002,83
Radial velocity,,2003,104
Radial velocity,,2004,122
Radial velocity,,2005,155
Radial velocity,,2006,176
Radial velocity,,2007,210
Radial velocity,,2008,247
Radial velocity,,2009,320
Radial velocity,,2010,361
Radial velocity,,2011,408
Radial velocity,,2012,442
Radial velocity,,2013,474
Radial velocity,,2014,524
Radial velocity,,2015,571
Radial velocity,,2016,620
Radial velocity,,2017,669
Radial velocity,,2018,718
Radial velocity,,2019,784
Radial velocity,,2020,829
Radial velocity,,2021,907
Radial velocity,,2022,1022
Transit,,1992,0
Transit,,1994,0
Transit,,1995,0
Transit,,1996,0
Transit,,1997,0
Transit,,1998,0
Transit,,1999,0
Transit,,2000,0
Transit,,2001,0
Transit,,2002,1
Transit,,2003,1
Transit,,2004,6
Transit,,2005,6
Transit,,2006,11
Transit,,2007,27
Transit,,2008,44
Transit,,2009,62
Transit,,2010,108
Transit,,2011,187
Transit,,2012,280
Transit,,2013,360
Transit,,2014,1162
Transit,,2015,1262
Transit,,2016,2717
Transit,,2017,2806
Transit,,2018,3059
Transit,,2019,3172
Transit,,2020,3338
Transit,,2021,3753
Transit,,2022,3941